sample,image,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63
24,1,-0.36934537,0.004677857,0.007143395,-0.012444966,-0.012936159,-0.012988206,-0.21401477,-0.0123044895,-2.2338827,0.053114302,1.3512644,0.9594488,0.005041893,-1.1765201,0.008329835,-2.291303,0.92977685,1.5760831,-0.0010099392,-0.7783678,1.0724031,-1.3697824,-1.682819,0.0059670554,-1.3508333,-2.2141654,-0.11195862,1.4292687,-0.08183446,-1.7705209,0.013547529,0.012233801,1.074626,0.82019866,0.0055681337,-0.004095046,-0.004888048,-0.005313189,-0.013406733,0.007808982,-1.0995244,2.241621,0.0082519995,-0.94602334,-0.012282047,0.008091486,-0.29599804,-0.12772639,0.0136563275,0.011071556,0.049088024,0.0016866551,0.00967824,0.005855333,0.036382414,-0.002231757,1.3232772,-0.0064327475,-0.23021181,-0.78265125,0.0086514205,-1.517329,-0.68882054,-0.37092477
24,1,2.0623152,-0.007113415,0.002801219,0.0011045896,0.0072072227,-0.00598663,-0.49426958,0.007882868,0.6868127,-0.01684805,-0.2598414,-0.59198326,0.00060008233,-1.7718797,0.0068430137,-0.40029448,-0.57846075,-0.62152904,-0.0019162092,0.16040061,1.1265821,-1.0524476,-1.5210733,-0.011360569,-1.001339,0.7283149,-1.1375964,-0.4763685,-0.9367086,0.5752199,0.013795584,-3.094878e-05,-0.9643292,-2.0207264,-0.0013934169,0.0058787074,-0.0039160596,0.0018827853,-0.009801736,-0.005002521,0.23647887,-0.3781109,-1.3067899,1.6134839,2.0073727e-05,0.0049948953,-0.027397865,-0.4340358,0.008269275,-0.004237812,1.5595329,-0.0058719497,-0.013221803,0.007501483,-0.030627754,-0.014544938,2.936655,-0.0014056098,-1.4969556,-0.65692186,0.011245854,-0.48101377,-1.0262425,-1.1252317
24,1,1.9451238,-0.0020877058,0.019969616,-0.0077456012,0.009108529,-0.0099786585,0.66974485,0.00935882,-1.6034824,-0.029861853,-1.0053923,-0.24017769,0.021620456,0.54380536,-0.007196104,-2.1450136,-0.85956275,0.99013615,-0.008845674,-1.9654559,1.3997376,0.58872527,-0.0802942,-0.010045095,-0.9593404,-1.0495589,0.863231,-1.0544653,-1.3723391,-0.82766134,0.016852021,-0.009006329,2.3808289,1.6245234,0.0070364308,0.014896154,0.0027189758,-0.004506886,-0.0065904018,-0.013892726,-0.16572362,-0.9933791,-1.5822812,0.3117655,-0.0005504787,0.0036759619,-0.4624485,1.2116758,0.0051840413,0.0012333635,0.78415316,-0.004789402,-0.0072496617,0.010362048,0.0870511,-0.017910544,0.47481066,-0.00021185353,0.6399607,1.6107092,-0.00085123256,-0.4499379,-1.6651447,0.56137973
24,1,-0.43765232,0.013434537,-0.016582862,-0.0029525775,-0.008518058,-0.0014020498,-2.3932643,-0.01010777,1.7387614,0.0014820099,-1.0805889,-0.5642955,0.00066809356,0.740948,-0.0009887535,-1.7576044,-0.28991327,-0.7031553,0.009770644,1.3496535,-0.1842171,-1.1875572,-1.572703,-0.009688377,1.5566944,-0.16035771,0.54569775,-0.9536686,-1.5261508,-0.1418573,0.002227215,-0.0024273656,0.90798527,-1.2442459,0.00043342356,-0.0036179833,-0.010141416,0.0048590587,-0.00096282363,0.002615266,-0.07175061,0.13912755,2.2762957,-0.40925744,-0.0010071313,-0.0017796783,-0.8030599,2.4296682,0.008667329,0.0008773245,-0.44626683,-0.0034820295,-0.017282616,-0.004876963,-0.0020950362,-0.009435879,-0.14160618,-0.0013904255,0.4933384,-0.57334614,0.008423915,0.16271347,-0.3241134,-1.3088249
24,1,-0.73534715,0.014623897,-0.0032267282,0.001631042,-0.01124365,0.0025796876,0.71952945,-0.010577108,-0.7687527,-0.021326043,3.647185,-1.4259006,-0.016132295,-2.1031933,0.01053104,-2.4647312,0.3374356,-0.4316169,0.0051824283,0.6002443,-0.6177655,0.20012383,-1.8580749,0.001964097,-0.26497102,0.3829382,-1.6574824,1.2873948,-0.55176777,-1.8096244,0.0029308721,0.024640143,-1.2084624,0.66694814,-0.011850851,-0.0064934585,-0.00957418,0.004306057,-0.009080125,0.015861489,-0.7854336,0.19037634,0.9412723,0.8201082,-0.008381231,-0.009774349,-1.8629284,-1.5777469,0.005637059,0.003961618,0.0026027784,0.002119618,-0.010653139,-0.0018803272,0.006736748,0.0017353611,0.8816093,-0.0021055639,0.64093554,-0.3989545,0.012118777,0.89804846,0.49163225,0.058878645
24,1,1.5883298,-0.003214391,-0.00071124267,0.010389546,0.0028709634,-0.0054879533,-1.1133399,-0.015770286,-1.3399112,0.032611556,0.17876834,0.3650192,-0.0017248485,-2.8782868,-0.0022214558,1.248872,0.17756091,-0.2747721,0.015634075,-1.1105809,-1.4067161,0.6839381,-0.7185596,-0.010946415,-1.4279841,0.545075,0.22939713,-0.26806408,-1.3340756,-0.24090794,0.016623458,-0.0005144952,-0.8325021,-1.3619918,0.0070696734,-0.0046268813,0.005071396,-0.015086685,-0.0064833853,0.0035849116,0.44259983,0.7429059,-1.7952288,-1.7518948,-0.00976447,0.018451795,1.0958304,1.5355042,0.0016744509,-0.0023746751,0.21437186,-0.012731418,-0.012423573,0.0122501515,0.057843782,-0.006313015,0.6525763,-0.010696271,-0.36522764,-1.0809482,0.00026896037,-0.75725263,-0.5913747,-1.775354
24,1,2.0460522,-0.0061136065,-0.014003074,-0.012102014,0.008378888,0.027040072,1.5911181,0.0041185617,0.052198984,-0.10054629,1.7573694,-0.4939518,-0.024845049,-1.7399747,-0.0071809487,0.4964199,-0.754996,-0.61471635,0.0031133685,0.17744823,-0.45975867,-0.784063,-0.77796483,0.002759738,0.41742608,0.5881603,2.6722667,-0.16038808,-1.2589896,0.8308676,0.002312514,0.011426648,0.737666,-0.4775593,-0.012694381,-0.009761246,0.00060389005,0.0069573605,0.0066560116,-6.659713e-05,-0.92012036,-1.5704821,0.075023696,0.69111496,0.0013702782,-0.015476764,-0.959413,0.9534297,0.007667454,-0.0013406761,-1.9973656,0.0019647644,-0.021804705,-0.0075776177,0.10722653,0.011791929,-0.23388986,-0.0015330184,1.2445978,-0.3869267,-0.0052735656,-0.39915878,1.468848,-1.1695468
24,1,0.80117285,-0.011654082,0.0039661173,0.0090188105,-0.0017930195,-0.014815547,-0.7851283,-0.0076450063,-1.1285975,0.005549498,2.659473,1.444808,-0.009164261,-2.5182805,0.006288402,0.34859043,-0.7621232,-1.5314349,0.005200021,0.6651211,0.10303973,-1.4459978,-1.539475,-0.0005792761,-0.42704716,0.39572388,2.624887,-0.8984724,0.9455125,0.44176847,0.00033270754,0.017344354,-0.07982054,1.2303104,0.0013032099,-0.0012555365,0.0008656746,-0.0055149756,-0.012453603,0.003848555,-1.2587037,1.1796383,-1.5536159,0.39335975,-0.005775818,0.0134052355,0.31647852,0.876373,-0.007359244,0.0075499546,1.1724815,-0.005255292,-0.014104989,0.005844686,0.13146898,-0.0001400495,0.024940118,-0.003843801,2.0350652,-0.120328344,-0.0010506166,-2.020223,1.4740697,-1.0501401
24,1,-1.164917,-0.004936902,-0.00018746406,-0.012575008,-0.003761595,-0.0070035155,-1.0640901,-0.006997267,-0.30660665,-0.052942403,0.029513266,-2.495547,-0.0027117273,0.9156949,0.005773796,-0.753998,-0.30589864,0.43609834,0.010164526,0.0121818185,-0.8816476,-1.2829903,-1.8488834,0.007175549,-0.60380155,0.029364645,1.3747429,1.2354766,1.7034547,0.07821111,0.0009243749,0.004952619,-1.7706949,-0.038085897,0.004571384,-0.0085141845,-0.015140306,-0.0027956846,-0.0005307626,0.0039268467,0.963193,2.3046129,0.8709493,-1.2238367,0.0049659535,0.004277203,0.11481585,1.190236,0.004600594,0.0116652,0.27291283,0.00024075781,-0.010858358,-0.005995498,-0.012910236,-0.0014821538,1.6004175,0.0033844318,-1.363553,-0.15294755,0.016450206,-0.029169343,0.69261736,-1.337419
24,1,0.09058995,-0.00092382636,0.0017892038,0.0034089256,0.005655716,0.018107899,0.29000407,-0.012007524,0.5482717,0.009503562,-1.8032948,0.057582,-0.019350965,-1.999701,-0.00014767051,-0.08978899,-1.6536641,-1.7397598,0.009823911,0.80911654,-0.057866983,-1.9841336,-0.91180336,0.0047217114,-2.603994,-0.54426265,0.7836115,-0.72854125,1.6310716,-1.3264138,-0.007771047,0.00086964853,-0.45700896,-0.5155519,-0.002202019,0.0034814514,-0.0069620647,-0.0013330262,-0.010047713,0.00010980165,0.72888803,-0.43995166,-1.2563591,1.7431943,0.0034094583,0.0167391,0.2698845,0.71932477,0.00984549,-0.007643385,-1.3462719,0.012787927,-0.014886863,0.007973839,0.008185409,-0.0068844194,0.4966213,-0.0016476084,0.85839915,1.1264745,0.008981958,-1.1076467,-0.6773427,0.6555627
