sample,image,pca_1,pca_2,umap_1,umap_2
24,1,-2.1311125364279246,-2.9734406542412164,6.260943,7.033443
24,1,-0.42031402108169397,-1.8276422862717137,6.826373,7.4810987
24,1,3.1898944750676437,-3.2596729018858936,6.944919,9.374389
24,1,-1.4741654401276376,-0.8614017538870263,6.1739755,6.834624
24,1,-5.514946041786008,-0.3932313843496159,5.9499717,5.407471
24,1,0.05293939294478615,-4.367020980122561,7.089137,8.766723
24,1,-1.7704066374924978,4.249415961020398,7.1826553,5.539264
24,1,-1.2347764085053992,-1.9280979072479811,8.037407,8.538456
24,1,-1.3049169110680114,0.21980465141135974,5.832194,7.517205
24,1,-1.9685451926382862,-0.8365633788412478,7.1605525,7.4895053
24,1,0.817625110324545,-0.7936475402863671,6.3861866,7.041308
24,1,2.0280008807429684,2.996765474732873,8.787978,7.2955966
24,1,-4.199217444570624,-3.4830553323907085,6.30117,6.7523417
24,1,-1.9219005720877498,-1.2239366057932417,5.7683187,7.0384417
24,1,-3.6963925197997596,-2.895674381405412,5.9917383,7.689055
24,1,-2.7840782767430974,-1.4263260725505051,7.3540606,6.7941175
24,1,0.19011544234021577,0.14729678908468202,6.2836,7.3524003
24,1,-2.4854774468629315,-2.9324341336422433,6.8726687,7.31027
24,1,-2.699031763447269,-4.16422904174356,6.6983514,8.249629
24,1,-0.5481256214663155,0.6219779192649499,6.5550933,7.223789
24,2,-0.712476658685669,-1.334137740898994,6.078589,8.438832
24,2,-3.0599271658635696,-2.5088680162144437,6.305695,6.392461
24,2,2.6599948983646824,0.3852555059881509,7.98591,8.826103
24,2,-0.739020706556157,-4.7680189941070354,6.1679006,8.53671
24,2,-1.4531944797956293,-4.256214215891235,7.2164216,7.9154224
24,2,0.6037708729910813,1.375438373418713,4.382005,6.409834
24,2,1.9971439428619995,2.560262584960774,8.949738,7.111226
24,2,-3.9290801053945787,-1.6995816839133857,6.1536946,5.983661
24,2,-1.5567260579384414,1.2320316910319251,6.4283423,5.943482
24,2,0.23474081205139402,-2.230343558245825,5.7822437,8.587507
24,2,1.869111712848949,0.8088149980917411,4.556225,6.996446
24,2,0.5778584563347212,1.5444549735448587,7.9662523,7.1834593
24,2,0.04375538165938332,2.3649480617562744,5.388274,6.947291
24,2,-1.0548600799126215,1.563578882605785,7.3081274,5.45887
24,2,-0.07184987700117042,1.5586027331808927,6.3580294,5.326699
24,2,-2.6532786471520398,3.571461223884838,7.441444,5.628741
24,2,-3.0192570110037766,-2.853298550060078,6.444063,7.126117
24,2,-2.9688830197941156,-3.6109993934947777,6.098641,7.4778485
24,2,3.818912974327999,-2.8828721325241364,7.5546823,8.984979
24,2,-0.48215579577604945,3.0390793543396604,5.9105315,6.744215
24,3,-0.7622768129721775,0.4689188694588677,4.1285677,5.683542
