Epoch 163, Loss: 839537.0982142857
Epoch 164, Loss: 841153.4464285715
Epoch 165, Loss: 835881.7142857143
Epoch 166, Loss: 833951.7767857143
Epoch 167, Loss: 833707.75
Epoch 168, Loss: 833020.0803571428
Epoch 169, Loss: 832355.34375
Epoch 170, Loss: 832804.5535714285
Epoch 171, Loss: 833029.4285714285
Epoch 172, Loss: 834510.7008928572
Epoch 173, Loss: 836646.2946428572
Epoch 174, Loss: 838515.3660714285
Epoch 175, Loss: 835778.2857142857
Epoch 176, Loss: 832341.5223214285
Epoch 177, Loss: 832324.8392857143
Epoch 178, Loss: 831395.4464285715
Epoch 179, Loss: 831370.1339285715
Epoch 180, Loss: 831239.4732142857
Epoch 181, Loss: 831343.0089285715
Epoch 182, Loss: 831020.6785714285
Epoch 183, Loss: 831170.7857142857
Epoch 184, Loss: 831544.0178571428
Epoch 185, Loss: 832550.1875
Epoch 186, Loss: 832242.75
Epoch 187, Loss: 838136.3214285715
Epoch 188, Loss: 846634.6964285715
Epoch 189, Loss: 835917.4107142857
Epoch 190, Loss: 833347.0357142857
Epoch 191, Loss: 830918.0892857143
Epoch 192, Loss: 830988.1383928572
Epoch 193, Loss: 830870.9196428572
Epoch 194, Loss: 829885.9642857143
Epoch 195, Loss: 829629.4375
Epoch 196, Loss: 829869.28125
Epoch 197, Loss: 832938.2589285715
Epoch 198, Loss: 838988.9375
Epoch 199, Loss: 838041.2410714285
Epoch 200, Loss: 832214.3035714285
Epoch 201, Loss: 829452.8080357143
Epoch 202, Loss: 828777.9553571428
Epoch 203, Loss: 828724.8258928572
Epoch 204, Loss: 830155.1071428572
Epoch 205, Loss: 830286.3214285715
Epoch 206, Loss: 828835.1339285715
Epoch 207, Loss: 827774.6607142857
Epoch 208, Loss: 828042.1696428572
Epoch 209, Loss: 827486.0357142857
Epoch 210, Loss: 827813.3169642857
Epoch 211, Loss: 827368.0357142857
Epoch 212, Loss: 828304.8080357143
Epoch 213, Loss: 827283.7053571428
Epoch 214, Loss: 829583.1339285715
Epoch 215, Loss: 832457.5
Epoch 216, Loss: 834935.9821428572
Epoch 217, Loss: 831192.1919642857
Epoch 218, Loss: 826208.5803571428
Epoch 219, Loss: 826134.3169642857
Epoch 220, Loss: 827408.7410714285
Epoch 221, Loss: 827196.6339285715
Epoch 222, Loss: 825971.5669642857
Epoch 223, Loss: 824298.4419642857
Epoch 224, Loss: 824330.1116071428
Epoch 225, Loss: 829885.2455357143
Epoch 226, Loss: 832485.8571428572
Epoch 227, Loss: 824394.9910714285
Epoch 228, Loss: 824907.1964285715
Epoch 229, Loss: 822476.7410714285
Epoch 230, Loss: 821782.7857142857
Epoch 231, Loss: 821807.9910714285
Epoch 232, Loss: 822192.9955357143
Epoch 233, Loss: 821570.6071428572
Epoch 234, Loss: 821306.3392857143
Epoch 235, Loss: 820448.2723214285
Epoch 236, Loss: 826716.90625
Epoch 237, Loss: 822249.1696428572
Epoch 238, Loss: 820255.9285714285
Epoch 239, Loss: 820260.1428571428
Epoch 240, Loss: 820689.2991071428
Epoch 241, Loss: 827468.8571428572
Epoch 242, Loss: 832297.0
Epoch 243, Loss: 822117.875
Epoch 244, Loss: 822098.4598214285
Epoch 245, Loss: 818753.4285714285
Epoch 246, Loss: 819350.4508928572
Epoch 247, Loss: 819494.25
Epoch 248, Loss: 820736.1116071428
Epoch 249, Loss: 822039.7098214285
Epoch 250, Loss: 819141.53125
Epoch 251, Loss: 817345.7589285715
Epoch 252, Loss: 816640.59375
Epoch 253, Loss: 816715.9464285715
Epoch 254, Loss: 821865.6696428572
Epoch 255, Loss: 822263.8839285715
Epoch 256, Loss: 821725.9330357143
Epoch 257, Loss: 816742.7723214285
Epoch 258, Loss: 817549.8571428572
Epoch 259, Loss: 817074.5133928572
Epoch 260, Loss: 819143.4285714285
Epoch 261, Loss: 826330.6741071428
Epoch 262, Loss: 827144.9196428572
Epoch 263, Loss: 821196.9955357143
Epoch 264, Loss: 816362.6428571428
Epoch 265, Loss: 815102.3482142857
